player_name,variable,value,counts
Juan Toscano-Anderson,points,0.0,493
Juan Toscano-Anderson,points,1.0,23
Juan Toscano-Anderson,points,2.0,194
Juan Toscano-Anderson,points,3.0,132
Juan Toscano-Anderson,points,,1
Juan Toscano-Anderson,result_contest,Alter,15
Juan Toscano-Anderson,result_contest,Average,253
Juan Toscano-Anderson,result_contest,Block,29
Juan Toscano-Anderson,result_contest,Fouled,51
Juan Toscano-Anderson,result_contest,Goaltend,1
Juan Toscano-Anderson,result_contest,Open,163
Juan Toscano-Anderson,result_contest,Plus,134
Juan Toscano-Anderson,result_contest,Poor,45
Juan Toscano-Anderson,result_contest,,152
Juan Toscano-Anderson,result_type,1-2D Pull-Up,42
Juan Toscano-Anderson,result_type,3+D Pull-Up,10
Juan Toscano-Anderson,result_type,Catch & Shoot,217
Juan Toscano-Anderson,result_type,Dunk,50
Juan Toscano-Anderson,result_type,Face-Up,12
Juan Toscano-Anderson,result_type,Floater,34
Juan Toscano-Anderson,result_type,Hook,8
Juan Toscano-Anderson,result_type,Layup,213
Juan Toscano-Anderson,result_type,Leaner,5
Juan Toscano-Anderson,result_type,Off-Lob / Tip,6
Juan Toscano-Anderson,result_type,Off-Movement,82
Juan Toscano-Anderson,result_type,PU Fade,7
Juan Toscano-Anderson,result_type,Post Fade,3
Juan Toscano-Anderson,result_type,Putback,2
Juan Toscano-Anderson,result_type,SC Violation,12
Juan Toscano-Anderson,result_type,Side Out,18
Juan Toscano-Anderson,result_type,TOV,95
Juan Toscano-Anderson,result_type,Take FT,10
Juan Toscano-Anderson,result_type,Take Side,17
Juan Toscano-Anderson,result_zone,Deep Backcourt,3
Juan Toscano-Anderson,result_zone,Left Above Break 3,56
Juan Toscano-Anderson,result_zone,Left Corner 3,53
Juan Toscano-Anderson,result_zone,Left Midrange,9
Juan Toscano-Anderson,result_zone,Left Short Mid,16
Juan Toscano-Anderson,result_zone,Mid-Left Above Break 3,49
Juan Toscano-Anderson,result_zone,Mid-Left Deep Paint,6
Juan Toscano-Anderson,result_zone,Mid-Left Midrange,15
Juan Toscano-Anderson,result_zone,Mid-Left Short Paint,9
Juan Toscano-Anderson,result_zone,Mid-Right Above Break 3,53
Juan Toscano-Anderson,result_zone,Mid-Right Deep Paint,8
Juan Toscano-Anderson,result_zone,Mid-Right Midrange,10
Juan Toscano-Anderson,result_zone,Mid-Right Short Paint,14
Juan Toscano-Anderson,result_zone,Right Above Break 3,92
Juan Toscano-Anderson,result_zone,Right Corner 3,70
Juan Toscano-Anderson,result_zone,Right Midrange,9
Juan Toscano-Anderson,result_zone,Right Short Mid,15
Juan Toscano-Anderson,result_zone,Rim,320
Juan Toscano-Anderson,result_zone,Short Backcourt,6
Juan Toscano-Anderson,result_zone,,30
Kevon Looney,points,0.0,509
Kevon Looney,points,1.0,40
Kevon Looney,points,2.0,392
Kevon Looney,points,3.0,95
Kevon Looney,points,,1
Kevon Looney,result_contest,Alter,19
Kevon Looney,result_contest,Average,307
Kevon Looney,result_contest,Block,53
Kevon Looney,result_contest,Fouled,97
Kevon Looney,result_contest,Open,240
Kevon Looney,result_contest,Plus,133
Kevon Looney,result_contest,Poor,67
Kevon Looney,result_contest,,121
Kevon Looney,result_type,1-2D Pull-Up,52
Kevon Looney,result_type,3+D Pull-Up,12
Kevon Looney,result_type,Catch & Shoot,150
Kevon Looney,result_type,Dunk,127
Kevon Looney,result_type,Face-Up,13
Kevon Looney,result_type,Floater,42
Kevon Looney,result_type,Hook,19
Kevon Looney,result_type,Jump Ball,5
Kevon Looney,result_type,Layup,322
Kevon Looney,result_type,Leaner,3
Kevon Looney,result_type,Off-Lob / Tip,34
Kevon Looney,result_type,Off-Movement,99
